EVSE ID,indirizzo_stazione,energia_erogata_kwh,ricavi_totali,costo_stimato,Numero_di_sessioni,within_1km_x,Plug Type,index,connector_evse_id,station_address,station_coordinates_lat,station_coordinates_lon,connector_isSuspended,latitude,longitude,restaurant,fuel,parking,atm,bank,hospital,pub,fast_food,townhall,nightclub,car_wash,conference_centre,payment_terminal,training,school,bus_station,pharmacy,supermarket,post_office,within_1km_y
IT*F2X*EF2XITA6651,A1 - Autostrada del Sole,6051.942,3224.052708532656,1512.9855,396.0,,,4954.0,IT*F2X*EF2XITA6651,A1 - Autostrada del Sole,43.65027,11.46456,0.0,43.65027,11.46456,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
IT*F2X*EF2XITA7001,A1  Autostrada del Sole,38453.826,26148.439653394515,9613.4565,1018.0,,,1627.0,IT*F2X*EF2XITA7001,A1  Autostrada del Sole,43.405595,11.763815,0.0,43.405595,11.763815,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA7002,A1  Autostrada del Sole,75397.962,51270.131464045786,18849.4905,2131.0,,,1631.0,IT*F2X*EF2XITA7002,A1  Autostrada del Sole,43.40554,11.763788,0.0,43.40554,11.763788,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
,,,,,,,,4723.0,IT*F2X*EF2XITA7003,A1  Autostrada del Sole,43.405467,11.763752,0.0,43.405467,11.763752,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
,,,,,,,,4727.0,IT*F2X*EF2XITA7004,A1  Autostrada del Sole,43.405421,11.763815,0.0,43.405421,11.763815,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA7051,A1  Autostrada del Sole,3524.48,1863.3873973581858,881.12,263.0,,,1635.0,IT*F2X*EF2XITA7051,A1  Autostrada del Sole,43.405595,11.763815,0.0,43.405595,11.763815,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA7101,A1  Autostrada del Sole,49550.847,33694.47295919548,12387.71175,1442.0,,,1641.0,IT*F2X*EF2XITA7101,A1  Autostrada del Sole,43.407976,11.762806,0.0,43.407976,11.762806,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA7102,A1  Autostrada del Sole,47209.244,32102.147788134585,11802.311,1362.0,,,1645.0,IT*F2X*EF2XITA7102,A1  Autostrada del Sole,43.407978,11.762863,0.0,43.407978,11.762863,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
,,,,,,,,2198.0,IT*F2X*EF2XITA7103,A1  Autostrada del Sole,43.407908,11.762828,0.0,43.407908,11.762828,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
,,,,,,,,4719.0,IT*F2X*EF2XITA7104,A1  Autostrada del Sole,43.407908,11.762877,0.0,43.407908,11.762877,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA7151,A1  Autostrada del Sole,5217.8460000000005,2789.0283943702702,1304.4615000000001,420.0,,,1649.0,IT*F2X*EF2XITA7151,A1  Autostrada del Sole,43.408129,11.76261,0.0,43.408129,11.76261,2.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,no
IT*F2X*EF2XITA8501,A1 - Autostrada del Sole,65999.955,44879.510323837596,16499.98875,1918.0,,,3433.0,IT*F2X*EF2XITA8501,A1 - Autostrada del Sole,42.875911,12.019079,0.0,42.875911,12.019079,2.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
IT*F2X*EF2XITA8502,A1 - Autostrada del Sole,50905.572,34615.265877688325,12726.393,1446.0,,,3435.0,IT*F2X*EF2XITA8502,A1 - Autostrada del Sole,42.875973,12.019045,0.0,42.875973,12.019045,2.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
,,,,,,,,5201.0,IT*F2X*EF2XITA8503,A1 - Autostrada del Sole,42.87604,12.019031,0.0,42.87604,12.019031,2.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
IT*F2X*EF2XITA8551,A1 - Autostrada del Sole,5110.516,2720.7881031795278,1277.629,382.0,,,1065.0,IT*F2X*EF2XITA8551,A1 - Autostrada del Sole,42.875865,12.019143,0.0,42.875865,12.019143,2.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes
