Tratta,Strada,Km,Comune,Pr,Consistenza gg,Leggeri,Pesanti
1032,SS185,62.752,Gaggi,ME,363.0,7401,59
933,SS145,41.705,Piano di Sorrento,,363.0,7388,100
18005,SS106,371.869,Villapiana,CS,360.0,7333,1295
900013,SS106,273.605,Melissa,KR,360.0,7331,413
3193,SS52,79.217,Auronzo di Cadore,BL,360.0,7323,157
435,SS42,121.414,Monno,BS,358.0,7282,158
2238,SS28,48.522,Lesegno,CN,358.0,7268,219
19057,SS122,27.253,Canicattì,AG,359.0,7262,135
50036,SS63,80.959,Carpineti,RE,359.0,7245,140
1067,SS197,21.545,Sanluri,SU,360.0,7239,259
19109,SS114DIR,9.853,Carlentini,SR,324.0,7218,959
3429,SS650,76.162,San Salvo,CH,359.0,7214,905
1520,SS407,14.721,Brindisi Montagna,PZ,360.0,7193,821
412045,SS156,39.134,Sezze,LT,360.0,7124,926
411020,SS210,32.282,Servigliano,FM,357.0,7109,68
10031,SS717,5.843,Villanova d'Albenga,SV,345.0,7109,41
376,SS28,23.398,Magliano Alpi,CN,360.0,7086,212
2239,SS28,59.225,Nucetto,CN,344.0,7076,327
3520,SS647DIR-B,11.21,Ripalimosani,CB,359.0,7076,250
1147,SS231,69.87,Fossano,CN,360.0,7073,285
97,SS6DIR,5.722,Venafro,IS,244.0,7059,715
679,SS93,6.273,Barletta,BT,362.0,7023,564
920032,SS54,19.585,Cividale del Friuli,UD,317.0,7007,158
371,SS26,125.485,La Salle,AO,289.0,6936,151
412043,SS6,96.184,Ripi,FR,360.0,6924,143
3174,SS182,3.103,Vibo Valentia,VV,334.0,6911,230
513080,SS649,6.026,Torrevecchia Teatina,CH,327.0,6893,49
835,SS117BIS,83.277,Gela,CL,363.0,6888,429
517128,SS598,34.084,Marsico Nuovo,PZ,360.0,6869,241
19116,SS417,38.159,Mineo,CT,360.0,6797,438
15027,SS90DIR,1.361,Flumeri,AV,360.0,6777,183
501029,SS20,23.977,Carmagnola,TO,363.0,6770,175
67,SS4,96.528,Borgo Velino,RI,360.0,6768,213
410006,SS728,14.307,Corciano,PG,360.0,6734,336
3478,SS17,52.707,Barisciano,AQ,363.0,6711,193
412037,SS690,39.451,Sora,FR,360.0,6701,809
19120,SS514,34.545,Vizzini,CT,360.0,6699,704
16004,SS695,0.719,Otranto,LE,360.0,6613,76
369,SS26,66.959,Montjovet,AO,325.0,6602,99
519,SS62,35.191,Pontremoli,MS,359.0,6582,84
19047,SS189,60.036,Favara,AG,236.0,6577,173
885,SS128,2.723,Monastir,SU,279.0,6563,83
411003,SS745,5.633,Fermignano,PU,360.0,6556,247
312005,SS675,32.399,Orte,VT,357.0,6531,449
3059,SS7,582.022,Matera,MT,360.0,6494,280
